Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |        205 |     71,436 |      3,163 |     10,443 |     85,042 |
| JavaScript |        129 |     53,189 |     12,281 |     11,069 |     76,539 |
| JSON       |          4 |     15,820 |          0 |          4 |     15,824 |
| PHP        |        145 |      6,883 |      1,763 |      1,461 |     10,107 |
| XML        |        295 |        994 |          7 |         10 |      1,011 |
| Markdown   |          1 |         44 |          0 |         21 |         65 |
| YAML       |          1 |         14 |          0 |          1 |         15 |
| HTML       |          1 |         12 |          0 |          1 |         13 |
| SCSS       |          2 |          7 |          5 |          5 |         17 |
| Log        |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        784 |    148,401 |     17,219 |     23,016 |    188,636 |
| . (Files)                                                                                                            |          9 |     15,917 |         21 |         35 |     15,973 |
| app                                                                                                                  |         44 |      1,759 |        306 |        462 |      2,527 |
| app\Console                                                                                                          |          1 |         15 |         12 |          6 |         33 |
| app\Exceptions                                                                                                       |          1 |         19 |         17 |          6 |         42 |
| app\Exports                                                                                                          |          1 |         63 |          1 |         12 |         76 |
| app\Http                                                                                                             |         29 |      1,469 |        194 |        365 |      2,028 |
| app\Http (Files)                                                                                                     |          1 |         40 |         22 |          7 |         69 |
| app\Http\Controllers                                                                                                 |          9 |        164 |        117 |         59 |        340 |
| app\Http\Controllers (Files)                                                                                         |          3 |         69 |         10 |         18 |         97 |
| app\Http\Controllers\Auth                                                                                            |          6 |         95 |        107 |         41 |        243 |
| app\Http\Livewire                                                                                                    |         11 |      1,173 |          3 |        264 |      1,440 |
| app\Http\Middleware                                                                                                  |          8 |         92 |         52 |         35 |        179 |
| app\Models                                                                                                           |          7 |        109 |         17 |         43 |        169 |
| app\Providers                                                                                                        |          5 |         84 |         65 |         30 |        179 |
| bootstrap                                                                                                            |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                               |         18 |        709 |      1,114 |        336 |      2,159 |
| database                                                                                                             |         18 |        568 |        155 |        103 |        826 |
| database\factories                                                                                                   |          1 |         25 |         10 |          5 |         40 |
| database\migrations                                                                                                  |         11 |        337 |        110 |         70 |        517 |
| database\seeders                                                                                                     |          6 |        206 |         35 |         28 |        269 |
| public                                                                                                               |        625 |    125,592 |     15,424 |     21,520 |    162,536 |
| public (Files)                                                                                                       |          2 |         18 |         30 |         13 |         61 |
| public\assets                                                                                                        |        101 |     36,812 |      4,248 |      5,355 |     46,415 |
| public\assets\css                                                                                                    |         61 |     18,025 |      1,684 |      1,477 |     21,186 |
| public\assets\css (Files)                                                                                            |          7 |      3,896 |        197 |        549 |      4,642 |
| public\assets\css\apps                                                                                               |          7 |      3,427 |        178 |        205 |      3,810 |
| public\assets\css\authentication                                                                                     |          2 |        401 |         20 |         18 |        439 |
| public\assets\css\components                                                                                         |         11 |      1,975 |        326 |        181 |      2,482 |
| public\assets\css\components (Files)                                                                                 |          7 |        715 |        139 |         77 |        931 |
| public\assets\css\components\cards                                                                                   |          1 |        363 |         67 |         11 |        441 |
| public\assets\css\components\tabs-accordian                                                                          |          2 |        417 |         95 |         83 |        595 |
| public\assets\css\components\timeline                                                                                |          1 |        480 |         25 |         10 |        515 |
| public\assets\css\dashboard                                                                                          |          4 |      3,238 |        290 |        121 |      3,649 |
| public\assets\css\elements                                                                                           |         12 |      1,265 |        199 |        145 |      1,609 |
| public\assets\css\forms                                                                                              |          4 |        511 |         62 |         65 |        638 |
| public\assets\css\pages                                                                                              |         10 |      1,160 |        154 |         85 |      1,399 |
| public\assets\css\pages (Files)                                                                                      |          2 |        376 |         37 |         27 |        440 |
| public\assets\css\pages\coming-soon                                                                                  |          1 |        202 |         10 |          8 |        220 |
| public\assets\css\pages\error                                                                                        |          4 |        176 |         40 |         27 |        243 |
| public\assets\css\pages\faq                                                                                          |          2 |        302 |         42 |         14 |        358 |
| public\assets\css\pages\privacy                                                                                      |          1 |        104 |         25 |          9 |        138 |
| public\assets\css\tables                                                                                             |          1 |         49 |         11 |         12 |         72 |
| public\assets\css\users                                                                                              |          2 |        603 |         75 |         30 |        708 |
| public\assets\css\widgets                                                                                            |          1 |      1,500 |        172 |         66 |      1,738 |
| public\assets\img                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| public\assets\js                                                                                                     |         37 |     18,784 |      2,564 |      3,878 |     25,226 |
| public\assets\js (Files)                                                                                             |          4 |        465 |         84 |         97 |        646 |
| public\assets\js\apps                                                                                                |          7 |      2,337 |        129 |        497 |      2,963 |
| public\assets\js\authentication                                                                                      |          2 |         28 |          0 |          3 |         31 |
| public\assets\js\clipboard                                                                                           |          1 |          1 |          6 |          0 |          7 |
| public\assets\js\components                                                                                          |          7 |        396 |         12 |         41 |        449 |
| public\assets\js\components (Files)                                                                                  |          4 |        170 |          3 |         11 |        184 |
| public\assets\js\components\notification                                                                             |          1 |        115 |          9 |         25 |        149 |
| public\assets\js\components\session-timeout                                                                          |          2 |        111 |          0 |          5 |        116 |
| public\assets\js\dashboard                                                                                           |          2 |        862 |        111 |         63 |      1,036 |
| public\assets\js\elements                                                                                            |          3 |         78 |          8 |         18 |        104 |
| public\assets\js\forms                                                                                               |          2 |         64 |          9 |          8 |         81 |
| public\assets\js\forms (Files)                                                                                       |          1 |          1 |          0 |          0 |          1 |
| public\assets\js\forms\bootstrap_validation                                                                          |          1 |         63 |          9 |          8 |         80 |
| public\assets\js\ie11fix                                                                                             |          1 |         16 |          2 |          0 |         18 |
| public\assets\js\libs                                                                                                |          2 |     13,566 |      2,076 |      3,067 |     18,709 |
| public\assets\js\pages                                                                                               |          4 |         33 |          9 |          8 |         50 |
| public\assets\js\pages (Files)                                                                                       |          1 |          5 |          1 |          1 |          7 |
| public\assets\js\pages\coming-soon                                                                                   |          1 |         18 |          7 |          6 |         31 |
| public\assets\js\pages\faq                                                                                           |          2 |         10 |          1 |          1 |         12 |
| public\assets\js\users                                                                                               |          1 |         38 |          1 |          7 |         46 |
| public\assets\js\widgets                                                                                             |          1 |        900 |        117 |         69 |      1,086 |
| public\bootstrap                                                                                                     |          5 |     12,366 |        347 |      2,052 |     14,765 |
| public\bootstrap\css                                                                                                 |          2 |      9,017 |         13 |      1,201 |     10,231 |
| public\bootstrap\js                                                                                                  |          3 |      3,349 |        334 |        851 |      4,534 |
| public\css                                                                                                           |          7 |     23,216 |         58 |      3,686 |     26,960 |
| public\img                                                                                                           |          6 |        199 |          5 |          8 |        212 |
| public\js                                                                                                            |          1 |        624 |        320 |        286 |      1,230 |
| public\plugins                                                                                                       |        503 |     52,357 |     10,416 |     10,120 |     72,893 |
| public\plugins\animate                                                                                               |          1 |      2,120 |         21 |        229 |      2,370 |
| public\plugins\apex                                                                                                  |          3 |        810 |         26 |        109 |        945 |
| public\plugins\autocomplete                                                                                          |          5 |      1,543 |        171 |        270 |      1,984 |
| public\plugins\blockui                                                                                               |          2 |        681 |        110 |        116 |        907 |
| public\plugins\bootstrap-maxlength                                                                                   |          2 |        401 |        127 |         64 |        592 |
| public\plugins\bootstrap-multiselect                                                                                 |          1 |          1 |          9 |          2 |         12 |
| public\plugins\bootstrap-range-Slider                                                                                |          2 |         44 |         11 |         12 |         67 |
| public\plugins\bootstrap-select                                                                                      |          2 |      1,845 |         10 |         73 |      1,928 |
| public\plugins\bootstrap-touchspin                                                                                   |          3 |         78 |         25 |         16 |        119 |
| public\plugins\countdown                                                                                             |          1 |          1 |         21 |          0 |         22 |
| public\plugins\counter                                                                                               |          1 |        106 |          3 |         22 |        131 |
| public\plugins\currency                                                                                              |          1 |         39 |         24 |         21 |         84 |
| public\plugins\drag-and-drop                                                                                         |          7 |      1,478 |         69 |        251 |      1,798 |
| public\plugins\drag-and-drop\dragula                                                                                 |          7 |      1,478 |         69 |        251 |      1,798 |
| public\plugins\dropify                                                                                               |          3 |        412 |         26 |         13 |        451 |
| public\plugins\dropify (Files)                                                                                       |          2 |        399 |         26 |         13 |        438 |
| public\plugins\dropify\fonts                                                                                         |          1 |         13 |          0 |          0 |         13 |
| public\plugins\editors                                                                                               |          7 |     10,780 |        707 |      1,944 |     13,431 |
| public\plugins\editors\markdown                                                                                      |          3 |        519 |         24 |        131 |        674 |
| public\plugins\editors\quill                                                                                         |          4 |     10,261 |        683 |      1,813 |     12,757 |
| public\plugins\file-upload                                                                                           |          2 |        107 |         10 |         10 |        127 |
| public\plugins\flatpickr                                                                                             |          5 |        854 |         42 |         13 |        909 |
| public\plugins\font-icons                                                                                            |        286 |      3,303 |         21 |      1,234 |      4,558 |
| public\plugins\font-icons\feather                                                                                    |        283 |        284 |         11 |          0 |        295 |
| public\plugins\font-icons\fontawesome                                                                                |          3 |      3,019 |         10 |      1,234 |      4,263 |
| public\plugins\font-icons\fontawesome\css                                                                            |          2 |      2,552 |         10 |      1,233 |      3,795 |
| public\plugins\font-icons\fontawesome\webfonts                                                                       |          1 |        467 |          0 |          1 |        468 |
| public\plugins\fullcalendar                                                                                          |          6 |      2,031 |         78 |        458 |      2,567 |
| public\plugins\highlight                                                                                             |         90 |      5,638 |        759 |      1,202 |      7,599 |
| public\plugins\highlight (Files)                                                                                     |          1 |          9 |          3 |          2 |         14 |
| public\plugins\highlight\styles                                                                                      |         89 |      5,629 |        756 |      1,200 |      7,585 |
| public\plugins\input-mask                                                                                            |         10 |         84 |         82 |         45 |        211 |
| public\plugins\input-mask (Files)                                                                                    |          2 |         76 |         26 |         37 |        139 |
| public\plugins\input-mask\phone-codes                                                                                |          8 |          8 |         56 |          8 |         72 |
| public\plugins\jquery-step                                                                                           |          3 |      1,092 |         32 |        108 |      1,232 |
| public\plugins\jquery-ui                                                                                             |          2 |          9 |          9 |          2 |         20 |
| public\plugins\jvector                                                                                               |         11 |        196 |         10 |         33 |        239 |
| public\plugins\jvector (Files)                                                                                       |          3 |        188 |         10 |         33 |        231 |
| public\plugins\jvector\africa                                                                                        |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\asia                                                                                          |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\continents                                                                                    |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\europe                                                                                        |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\north_america                                                                                 |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\oceania                                                                                       |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\south-america                                                                                 |          1 |          1 |          0 |          0 |          1 |
| public\plugins\jvector\worldmap_script                                                                               |          1 |          1 |          0 |          0 |          1 |
| public\plugins\lightbox                                                                                              |          9 |      4,045 |        538 |      1,086 |      5,669 |
| public\plugins\lightbox (Files)                                                                                      |          7 |      3,692 |        466 |      1,027 |      5,185 |
| public\plugins\lightbox\default-skin                                                                                 |          2 |        353 |         72 |         59 |        484 |
| public\plugins\loaders                                                                                               |          1 |        109 |         12 |         12 |        133 |
| public\plugins\nicescroll                                                                                            |          1 |          1 |          1 |          0 |          2 |
| public\plugins\noUiSlider                                                                                            |          4 |        143 |         41 |         51 |        235 |
| public\plugins\notification                                                                                          |          2 |          5 |         13 |          0 |         18 |
| public\plugins\notification\snackbar                                                                                 |          2 |          5 |         13 |          0 |         18 |
| public\plugins\perfect-scrollbar                                                                                     |          2 |         63 |         33 |         14 |        110 |
| public\plugins\pricing-table                                                                                         |          1 |        399 |         21 |         58 |        478 |
| public\plugins\pricing-table\css                                                                                     |          1 |        399 |         21 |         58 |        478 |
| public\plugins\select2                                                                                               |          3 |      3,092 |         10 |         83 |      3,185 |
| public\plugins\sweetalerts                                                                                           |          6 |      3,359 |        156 |        316 |      3,831 |
| public\plugins\table                                                                                                 |         15 |      7,314 |      7,151 |      2,198 |     16,663 |
| public\plugins\table\datatable                                                                                       |         15 |      7,314 |      7,151 |      2,198 |     16,663 |
| public\plugins\table\datatable (Files)                                                                               |         11 |      7,244 |      7,136 |      2,195 |     16,575 |
| public\plugins\table\datatable\button-ext                                                                            |          4 |         70 |         15 |          3 |         88 |
| public\plugins\tagInput                                                                                              |          2 |        156 |         35 |         48 |        239 |
| public\plugins\treeview                                                                                              |          1 |         18 |          2 |          7 |         27 |
| resources                                                                                                            |         59 |      3,728 |         95 |        506 |      4,329 |
| resources\css                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                         |          2 |          7 |         18 |         10 |         35 |
| resources\lang                                                                                                       |          4 |        144 |         60 |         24 |        228 |
| resources\lang\en                                                                                                    |          4 |        144 |         60 |         24 |        228 |
| resources\sass                                                                                                       |          2 |          7 |          5 |          5 |         17 |
| resources\views                                                                                                      |         50 |      3,570 |         12 |        466 |      4,048 |
| resources\views (Files)                                                                                              |          2 |        486 |          1 |        108 |        595 |
| resources\views\auth                                                                                                 |          6 |        290 |          0 |         61 |        351 |
| resources\views\auth (Files)                                                                                         |          3 |        156 |          0 |         31 |        187 |
| resources\views\auth\passwords                                                                                       |          3 |        134 |          0 |         30 |        164 |
| resources\views\common                                                                                               |          3 |         40 |          0 |          6 |         46 |
| resources\views\layouts                                                                                              |          7 |        460 |          2 |         72 |        534 |
| resources\views\layouts (Files)                                                                                      |          1 |         74 |          0 |         16 |         90 |
| resources\views\layouts\theme                                                                                        |          6 |        386 |          2 |         56 |        444 |
| resources\views\livewire                                                                                             |         27 |      1,959 |          9 |        193 |      2,161 |
| resources\views\livewire (Files)                                                                                     |          1 |         23 |          0 |          3 |         26 |
| resources\views\livewire\asignar                                                                                     |          1 |        100 |          1 |         10 |        111 |
| resources\views\livewire\cashout                                                                                     |          2 |        184 |          0 |          6 |        190 |
| resources\views\livewire\category                                                                                    |          2 |        140 |          1 |         26 |        167 |
| resources\views\livewire\denominations                                                                               |          2 |        166 |          2 |         21 |        189 |
| resources\views\livewire\permisos                                                                                    |          2 |        161 |          0 |         10 |        171 |
| resources\views\livewire\pos                                                                                         |          8 |        287 |          0 |         56 |        343 |
| resources\views\livewire\pos (Files)                                                                                 |          1 |         16 |          0 |         17 |         33 |
| resources\views\livewire\pos\partials                                                                                |          3 |        189 |          0 |         25 |        214 |
| resources\views\livewire\pos\scripts                                                                                 |          4 |         82 |          0 |         14 |         96 |
| resources\views\livewire\products                                                                                    |          2 |        225 |          3 |         21 |        249 |
| resources\views\livewire\reports                                                                                     |          2 |        243 |          1 |         10 |        254 |
| resources\views\livewire\roles                                                                                       |          2 |        161 |          0 |         10 |        171 |
| resources\views\livewire\startpage                                                                                   |          1 |         56 |          0 |          5 |         61 |
| resources\views\livewire\users                                                                                       |          2 |        213 |          1 |         15 |        229 |
| resources\views\pdf                                                                                                  |          1 |         98 |          0 |         10 |        108 |
| resources\views\vendor                                                                                               |          4 |        237 |          0 |         16 |        253 |
| resources\views\vendor\livewire                                                                                      |          4 |        237 |          0 |         16 |        253 |
| routes                                                                                                               |          4 |         53 |         32 |         25 |        110 |
| tests                                                                                                                |          4 |         41 |         15 |         19 |         75 |
| tests (Files)                                                                                                        |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                                        |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                           |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                               |          2 |         17 |         27 |          1 |         45 |
| vendor\facade                                                                                                        |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition                                                                                               |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources                                                                                     |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources\compiled                                                                            |          2 |         17 |         27 |          1 |         45 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\ventas-proyecto-rick\.styleci.yml                                                                    | YAML       |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\README.md                                                                       | Markdown   |         44 |          0 |         21 |         65 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Console\Kernel.php                                                          | PHP        |         15 |         12 |          6 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Exceptions\Handler.php                                                      | PHP        |         19 |         17 |          6 |         42 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Exports\SalesExport.php                                                     | PHP        |         63 |          1 |         12 |         76 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\ConfirmPasswordController.php                         | PHP        |         14 |         20 |          7 |         41 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\ForgotPasswordController.php                          | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\LoginController.php                                   | PHP        |         14 |         10 |          7 |         31 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\RegisterController.php                                | PHP        |         33 |         32 |          9 |         74 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\ResetPasswordController.php                           | PHP        |         10 |         15 |          6 |         31 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Auth\VerificationController.php                            | PHP        |         16 |         20 |          7 |         43 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\Controller.php                                             | PHP        |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\ExportController.php                                       | PHP        |         45 |          0 |          9 |         54 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Controllers\HomeController.php                                         | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Kernel.php                                                             | PHP        |         40 |         22 |          7 |         69 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\AsignarController.php                                         | PHP        |         80 |          0 |         19 |         99 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\CashoutController.php                                         | PHP        |         54 |          0 |         12 |         66 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\CategoriesController.php                                      | PHP        |        115 |          1 |         29 |        145 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\CoinsController.php                                           | PHP        |        123 |          0 |         29 |        152 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\PermisosController.php                                        | PHP        |         87 |          0 |         27 |        114 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\PosController.php                                             | PHP        |        193 |          1 |         42 |        236 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\ProductsController.php                                        | PHP        |        173 |          0 |         31 |        204 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\ReportsController.php                                         | PHP        |         69 |          0 |         14 |         83 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\RolesController.php                                           | PHP        |         98 |          1 |         27 |        126 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\SearchController.php                                          | PHP        |         11 |          0 |          5 |         16 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Livewire\UsersController.php                                           | PHP        |        170 |          0 |         29 |        199 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\Authenticate.php                                            | PHP        |         12 |          6 |          4 |         22 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\EncryptCookies.php                                          | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\PreventRequestsDuringMaintenance.php                        | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\RedirectIfAuthenticated.php                                 | PHP        |         19 |          8 |          6 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\TrimStrings.php                                             | PHP        |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\TrustHosts.php                                              | PHP        |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\TrustProxies.php                                            | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Http\Middleware\VerifyCsrfToken.php                                         | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Category.php                                                         | PHP        |         20 |          1 |          7 |         28 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Company.php                                                          | PHP        |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Denomination.php                                                     | PHP        |         16 |          0 |          6 |         22 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Product.php                                                          | PHP        |         24 |          1 |          6 |         31 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Sale.php                                                             | PHP        |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\SaleDetails.php                                                      | PHP        |          9 |          0 |          5 |         14 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Models\User.php                                                             | PHP        |         22 |         15 |          7 |         44 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\AppServiceProvider.php                                            | PHP        |         12 |         12 |          5 |         29 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\AuthServiceProvider.php                                           | PHP        |         13 |         12 |          6 |         31 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\BroadcastServiceProvider.php                                      | PHP        |         12 |          5 |          5 |         22 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\EventServiceProvider.php                                          | PHP        |         17 |         11 |          5 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\RouteServiceProvider.php                                          | PHP        |         30 |         25 |          9 |         64 |
